embed_modality,fmri_modality,layer,condition,n_subjects,mean_normalized_r,sem,mean_r,p_value,q_value
text,text,26,text_to_text,8,0.023820358113045247,0.007398219902376504,0.017092584570481236,9.999000099990002e-05,0.00012901935612890324
text,text,27,text_to_text,8,0.023657464395802602,0.00754704918924625,0.01702541625219256,9.999000099990002e-05,0.00012901935612890324
text,text,28,text_to_text,8,0.02329505621645501,0.007488378552210727,0.01669098492915097,9.999000099990002e-05,0.00012901935612890324
text,text,29,text_to_text,8,0.018754762482503375,0.00711286098349333,0.013634923108174088,9.999000099990002e-05,0.00012901935612890324
text,text,30,text_to_text,8,0.020370721810242576,0.007470048854980691,0.014732352490065628,9.999000099990002e-05,0.00012901935612890324
text,text,31,text_to_text,8,0.0197531650593952,0.007156904139658065,0.014321489977366838,9.999000099990002e-05,0.00012901935612890324
text,text,32,text_to_text,8,0.017896164877893125,0.007031498843719649,0.0129246703526741,9.999000099990002e-05,0.00012901935612890324
vision,image,0,image_to_image,8,0.032912719048763084,0.006665783010716328,0.02334493850471795,9.999000099990002e-05,0.00012901935612890324
vision,image,1,image_to_image,8,0.04093622956696916,0.0077053000497211985,0.028622588149325938,9.999000099990002e-05,0.00012901935612890324
vision,image,2,image_to_image,8,0.0453234184865023,0.009181417200658399,0.03184799236194647,9.999000099990002e-05,0.00012901935612890324
vision,image,3,image_to_image,8,0.050746510617993346,0.008719496555751789,0.03560044091896231,9.999000099990002e-05,0.00012901935612890324
vision,image,4,image_to_image,8,0.055866530587890526,0.009667328765862883,0.039467924388221345,9.999000099990002e-05,0.00012901935612890324
vision,image,5,image_to_image,8,0.0596366757809345,0.010947604975184584,0.042222414053074614,9.999000099990002e-05,0.00012901935612890324
vision,image,6,image_to_image,8,0.06613554599233286,0.013030289496195724,0.047095536269248964,9.999000099990002e-05,0.00012901935612890324
vision,image,7,image_to_image,8,0.07127135467670292,0.01408078969166323,0.050633673499573956,9.999000099990002e-05,0.00012901935612890324
vision,image,8,image_to_image,8,0.07294672605413208,0.014394551981169061,0.05172443436215567,9.999000099990002e-05,0.00012901935612890324
vision,image,9,image_to_image,8,0.07572537120152548,0.013948758172526658,0.0537094121995136,9.999000099990002e-05,0.00012901935612890324
vision,image,10,image_to_image,8,0.08182048083783759,0.014031191618671947,0.057775934169003645,9.999000099990002e-05,0.00012901935612890324
vision,image,11,image_to_image,8,0.08275124741333191,0.01510539844811638,0.058666491558281825,9.999000099990002e-05,0.00012901935612890324
vision,image,12,image_to_image,8,0.08245318809952534,0.015391360115507883,0.058527322446602074,9.999000099990002e-05,0.00012901935612890324
vision,image,13,image_to_image,8,0.08558757497496614,0.016075386071835302,0.060652094004854946,9.999000099990002e-05,0.00012901935612890324
vision,image,14,image_to_image,8,0.08472627633605992,0.01578393104768608,0.060064927668645476,9.999000099990002e-05,0.00012901935612890324
vision,image,15,image_to_image,8,0.08413690434523527,0.01620575396794499,0.05976945799943691,9.999000099990002e-05,0.00012901935612890324
vision,image,16,image_to_image,8,0.08461678601362725,0.016327353748675992,0.06000819462569969,9.999000099990002e-05,0.00012901935612890324
vision,image,17,image_to_image,8,0.08704150586880377,0.01721083301051509,0.061698700876424914,9.999000099990002e-05,0.00012901935612890324
vision,image,18,image_to_image,8,0.0874770325185818,0.017633354438939784,0.06193386325520151,9.999000099990002e-05,0.00012901935612890324
vision,image,19,image_to_image,8,0.08675630236726595,0.0184052255156177,0.061523069508167966,9.999000099990002e-05,0.00012901935612890324
